                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.97969,                0.61781,                  1.251,                0.95888,                0.91259,                0.95282,                0.63176,                 1.2076,                0.53744,                 1.4994,               0.001288,               0.001288,               0.001288
                     91,                 0.8885,                0.40522,                 1.2399,                0.95653,                0.90247,                0.95005,                0.62936,                 1.2107,                0.54048,                 1.5019,               0.001288,               0.001288,               0.001288
                     92,                0.88062,                0.39795,                 1.2355,                0.95002,                0.90958,                0.95062,                0.63128,                 1.2121,                0.54181,                 1.5053,                0.00109,                0.00109,                0.00109
                     93,                0.87428,                0.39455,                 1.2313,                 0.9525,                0.90984,                0.94962,                0.63052,                 1.2157,                0.54442,                 1.5107,               0.000991,               0.000991,               0.000991
                     94,                0.86577,                 0.3884,                 1.2239,                0.95269,                0.90671,                0.94902,                0.62971,                 1.2189,                0.54872,                 1.5154,               0.000892,               0.000892,               0.000892
                     95,                0.86109,                 0.3852,                 1.2214,                0.95031,                0.90814,                0.94804,                0.62871,                 1.2219,                0.54624,                 1.5188,               0.000793,               0.000793,               0.000793
                     96,                0.86131,                0.38381,                  1.222,                0.95347,                0.90647,                0.94881,                0.62831,                 1.2269,                0.54789,                 1.5216,               0.000694,               0.000694,               0.000694
                     97,                0.85367,                0.37943,                 1.2124,                0.95222,                 0.9056,                0.94795,                0.62751,                 1.2281,                0.54696,                 1.5248,               0.000595,               0.000595,               0.000595
                     98,                0.84068,                0.37251,                 1.2052,                0.96076,                0.90222,                0.94842,                0.62704,                  1.229,                0.54862,                  1.528,               0.000496,               0.000496,               0.000496
                     99,                0.83892,                0.37193,                 1.2025,                0.95747,                0.90177,                0.94766,                0.62723,                 1.2308,                0.55033,                 1.5311,               0.000397,               0.000397,               0.000397
                    100,                0.83634,                0.36995,                 1.2001,                0.95647,                0.90214,                 0.9467,                0.62614,                 1.2318,                0.55023,                 1.5339,               0.000298,               0.000298,               0.000298
